iter	Passed	Remaining
467	721	820
468	722	818
469	724	816
470	725	814
471	726	812
472	727	811
473	729	809
474	730	806
475	730	804
476	731	802
477	733	800
478	734	798
479	736	797
480	737	795
481	738	794
482	740	792
483	741	790
484	742	788
485	743	786
486	744	784
487	745	782
488	746	780
489	747	778
490	749	776
491	750	774
492	751	772
493	752	771
494	754	769
495	754	767
496	755	765
497	757	763
498	758	761
499	759	759
500	760	757
501	761	755
502	762	753
503	763	751
504	764	749
505	766	747
506	767	746
507	768	743
508	769	742
509	770	740
510	771	738
511	772	736
512	773	734
513	774	732
514	776	730
515	777	729
516	778	727
517	780	725
518	781	724
519	782	722
520	783	720
521	784	718
522	785	716
523	786	714
524	787	712
525	789	711
526	790	709
527	791	707
528	792	705
529	794	704
530	795	702
531	796	700
532	797	699
533	798	697
534	800	695
535	802	694
536	803	692
537	804	690
538	805	688
539	807	687
540	808	685
541	809	684
542	810	682
543	812	680
544	813	679
545	814	677
546	815	675
547	816	673
548	817	671
549	818	669
550	819	667
551	820	666
552	821	664
553	822	662
554	823	660
555	825	658
556	826	657
557	827	655
558	828	653
559	829	652
560	830	650
561	831	648
562	833	646
563	834	645
564	835	643
565	836	641
566	838	640
567	839	638
568	841	637
569	842	635
570	844	634
571	845	632
572	846	631
573	848	629
574	850	628
575	851	626
576	852	625
577	853	623
578	855	621
579	856	620
580	857	618
581	859	616
582	860	615
583	861	613
584	862	612
585	864	610
586	865	608
587	866	607
588	868	606
589	870	604
590	871	603
591	872	601
592	874	600
593	875	598
594	876	596
595	878	595
596	879	593
597	880	591
598	881	590
599	882	588
600	884	586
601	885	585
602	886	583
603	888	582
604	889	580
605	890	579
606	891	577
607	892	575
608	894	574
609	895	572
610	896	570
611	897	569
612	898	567
613	900	566
614	901	564
615	903	562
616	904	561
617	905	560
618	907	558
619	908	556
620	909	555
621	910	553
622	911	551
623	913	550
624	914	548
625	915	547
626	917	545
627	918	544
628	919	542
629	921	540
630	922	539
631	923	537
632	924	536
633	925	534
634	926	532
635	927	531
636	929	529
637	931	528
638	932	526
639	933	525
640	935	523
641	936	522
642	937	520
643	938	518
644	940	517
645	941	516
646	942	514
647	944	512
648	945	511
649	946	509
650	948	508
651	949	507
652	951	505
653	952	504
654	953	502
655	955	500
656	956	499
657	957	497
658	959	496
659	961	495
660	962	493
661	964	492
662	965	490
663	966	488
664	967	487
665	969	486
666	970	484
667	971	482
668	973	481
669	975	480
670	976	478
671	978	477
672	979	475
673	980	474
674	982	472
675	983	471
676	984	469
677	985	468
678	987	466
679	988	465
680	989	463
681	991	462
682	992	460
683	993	459
684	995	457
685	996	456
686	997	454
687	999	453
688	1000	451
689	1001	450
690	1003	448
691	1005	447
692	1006	446
693	1008	444
694	1009	442
695	1010	441
696	1011	439
697	1013	438
698	1014	436
699	1016	435
700	1017	433
701	1019	432
702	1020	431
703	1022	429
704	1023	428
705	1024	426
706	1025	425
707	1027	423
708	1028	422
709	1030	420
710	1031	419
711	1033	418
712	1034	416
713	1036	415
714	1038	413
715	1039	412
716	1041	410
717	1042	409
718	1043	407
719	1045	406
720	1046	404
721	1048	403
722	1049	402
723	1051	400
724	1052	399
725	1054	397
726	1055	396
727	1056	394
728	1057	393
729	1059	391
730	1060	390
731	1061	388
732	1062	387
733	1064	385
734	1065	384
735	1066	382
736	1068	381
737	1069	379
738	1070	378
739	1071	376
740	1072	375
741	1074	373
742	1075	371
743	1076	370
744	1077	368
745	1078	367
746	1080	365
747	1081	364
748	1082	362
749	1083	361
750	1085	359
751	1086	358
752	1087	356
753	1088	354
754	1089	353
755	1090	351
756	1091	350
757	1092	348
758	1094	347
759	1095	345
760	1097	344
761	1098	343
762	1099	341
763	1100	339
764	1101	338
765	1103	337
766	1104	335
767	1105	333
768	1106	332
769	1107	330
770	1109	329
771	1110	327
772	1111	326
773	1112	324
774	1113	323
775	1115	321
776	1116	320
777	1116	318
778	1117	317
779	1119	315
780	1120	314
781	1121	312
782	1122	311
783	1124	309
784	1125	308
785	1126	306
786	1128	305
787	1128	303
788	1130	302
789	1131	300
790	1132	299
791	1133	297
792	1134	296
793	1135	294
794	1137	293
795	1138	291
796	1139	290
797	1141	288
798	1142	287
799	1143	285
800	1144	284
801	1145	282
802	1146	281
803	1147	279
804	1148	278
805	1150	276
806	1151	275
807	1153	274
808	1154	272
809	1155	271
810	1156	269
811	1157	268
812	1158	266
813	1159	264
814	1160	263
815	1161	261
816	1162	260
817	1163	258
818	1164	257
819	1166	255
820	1167	254
821	1168	253
822	1170	251
823	1171	250
824	1172	248
825	1173	247
826	1174	245
827	1175	244
828	1176	242
829	1177	241
830	1178	239
831	1180	238
832	1181	236
833	1182	235
834	1183	233
835	1185	232
836	1186	231
837	1187	229
838	1188	227
839	1189	226
840	1190	224
841	1191	223
842	1192	222
843	1193	220
844	1194	219
845	1196	217
846	1197	216
847	1198	214
848	1199	213
849	1201	211
850	1202	210
851	1203	208
852	1204	207
853	1205	206
854	1206	204
855	1207	203
856	1208	201
857	1209	200
858	1210	198
859	1211	197
860	1213	195
861	1214	194
862	1215	192
863	1216	191
864	1217	190
865	1218	188
866	1219	187
867	1220	185
868	1221	184
869	1222	182
870	1224	181
871	1225	179
872	1226	178
873	1227	177
874	1229	175
875	1230	174
876	1231	172
877	1232	171
878	1233	169
879	1234	168
880	1235	166
881	1236	165
882	1237	163
883	1238	162
884	1239	161
885	1240	159
886	1242	158
887	1243	156
888	1244	155
889	1245	153
890	1246	152
891	1247	151
892	1248	149
893	1249	148
894	1250	146
895	1251	145
896	1252	143
897	1253	142
898	1254	140
899	1256	139
900	1257	138
901	1258	136
902	1266	136
903	1268	134
904	1269	133
905	1271	131
906	1272	130
907	1274	129
908	1276	127
909	1277	126
910	1279	124
911	1280	123
912	1282	122
913	1283	120
914	1285	119
915	1287	118
916	1288	116
917	1289	115
918	1290	113
919	1291	112
920	1293	110
921	1294	109
922	1295	108
923	1296	106
924	1297	105
925	1298	103
926	1299	102
927	1300	100
928	1302	99
929	1303	98
930	1304	96
931	1305	95
932	1306	93
933	1307	92
934	1308	90
935	1309	89
936	1311	88
937	1312	86
938	1313	85
939	1314	83
940	1315	82
941	1316	81
942	1317	79
943	1318	78
944	1319	76
945	1320	75
946	1322	73
947	1323	72
948	1324	71
949	1324	69
950	1325	68
951	1326	66
952	1327	65
953	1328	64
954	1329	62
955	1330	61
956	1332	59
957	1333	58
958	1334	57
959	1335	55
960	1335	54
961	1336	52
962	1338	51
963	1339	50
964	1340	48
965	1341	47
966	1342	45
967	1343	44
968	1344	43
969	1345	41
970	1347	40
971	1348	38
972	1349	37
973	1350	36
974	1351	34
975	1352	33
976	1353	31
977	1354	30
978	1355	29
979	1356	27
980	1357	26
981	1358	24
982	1359	23
983	1360	22
984	1361	20
985	1362	19
986	1363	17
987	1364	16
988	1365	15
989	1366	13
990	1367	12
991	1368	11
992	1369	9
993	1370	8
994	1371	6
995	1372	5
996	1373	4
997	1374	2
998	1375	1
999	1376	0
